,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
61,2.9,2.9,0.0,0.0,1.63444248,9.48481479e-16,0.0,0.0,-1.439854186e-06,1.0,1.0,1.446905772e-06,0.0,0.0,-7.051483916e-09
62,2.95,2.95,0.0,0.0,1.659122009,1.105012499e-15,0.0,0.0,-1.455081954e-06,1.0,1.0,1.462309127e-06,0.0,0.0,-7.227076451e-09
63,3.0,3.0,0.0,0.0,1.683722209,1.280521395e-15,0.0,0.0,-1.469930101e-06,1.0,1.0,1.477337904e-06,0.0,0.0,-7.407710354e-09
64,3.05,3.05,0.0,0.0,1.708246575,1.476419705e-15,0.0,0.0,-1.484444669e-06,1.0,1.0,1.492037998e-06,0.0,0.0,-7.593240112e-09
65,3.1,3.1,0.0,0.0,1.732698844,1.6941024910000001e-15,0.0,0.0,-1.4986499e-06,1.0,1.0,1.506433382e-06,0.0,0.0,-7.783396701e-09
66,3.15,3.15,0.0,0.0,1.757082886,1.934931857e-15,0.0,0.0,-1.512553013e-06,1.0,1.0,1.520530929e-06,0.0,0.0,-7.977833681e-09
67,3.2,3.2,0.0,0.0,1.781401943,2.20022835e-15,0.0,0.0,-1.526173864e-06,1.0,1.0,1.534350204e-06,0.0,0.0,-8.176261011e-09
68,3.25,3.25,0.0,0.0,1.805659205,2.491256992e-15,0.0,0.0,-1.539524061e-06,1.0,1.0,1.547902511e-06,0.0,0.0,-8.378372916e-09
69,3.275,3.275,0.0,0.0,1.817765602,2.646799881e-15,0.0,0.0,-1.546101145e-06,1.0,1.0,1.554581923e-06,0.0,0.0,-8.480701432e-09
70,3.28125,3.28125,0.0,0.0,1.820789945,2.686754995e-15,0.0,0.0,-1.547735432e-06,1.0,1.0,1.556241922e-06,0.0,0.0,-8.506413679e-09
71,3.2875,3.2875,0.0,0.0,1.823813397,2.727142313e-15,0.0,0.0,-1.549365766e-06,1.0,1.0,1.557898019e-06,0.0,0.0,-8.532176615e-09
72,3.3,3.3,0.0,0.0,1.829857649,2.8092223610000002e-15,0.0,0.0,-1.552614645e-06,1.0,1.0,1.561198576e-06,0.0,0.0,-8.583853889e-09
73,3.35,3.35,0.0,0.0,1.854000041,3.15526195e-15,0.0,0.0,-1.565455948e-06,1.0,1.0,1.574248528e-06,0.0,0.0,-8.792505396e-09
74,3.3625,3.3625,0.0,0.0,1.860027187,3.2462851150000002e-15,0.0,0.0,-1.568628479e-06,1.0,1.0,1.577473689e-06,0.0,0.0,-8.845135343e-09
