Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge
9.02E-05,-5.34E-18,,4.84E-05,-9.69E-18,,3.12E-05,-9.22E-18,,1.00E-05,-2.98E-18,,5.51E-06,-3.81E-18
9.22E-05,-5.45E-18,,4.97E-05,-9.93E-18,,3.18E-05,-9.39E-18,,1.01E-05,-3.01E-18,,5.62E-06,-3.89E-18
9.46E-05,-5.58E-18,,5.13E-05,-1.02E-17,,3.26E-05,-9.62E-18,,1.03E-05,-3.07E-18,,5.73E-06,-3.96E-18
9.58E-05,-5.65E-18,,5.23E-05,-1.04E-17,,3.35E-05,-9.88E-18,,1.07E-05,-3.18E-18,,5.92E-06,-4.08E-18
9.68E-05,-5.71E-18,,5.33E-05,-1.06E-17,,3.44E-05,-1.02E-17,,1.11E-05,-3.29E-18,,6.10E-06,-4.20E-18
9.86E-05,-5.81E-18,,5.41E-05,-1.08E-17,,3.54E-05,-1.05E-17,,1.15E-05,-3.42E-18,,6.23E-06,-4.29E-18
1.02E-04,-6.01E-18,,5.51E-05,-1.10E-17,,3.64E-05,-1.08E-17,,1.22E-05,-3.61E-18,,6.33E-06,-4.35E-18
1.05E-04,-6.14E-18,,5.65E-05,-1.12E-17,,3.74E-05,-1.10E-17,,1.30E-05,-3.86E-18,,6.49E-06,-4.46E-18
1.06E-04,-6.22E-18,,5.81E-05,-1.15E-17,,3.84E-05,-1.13E-17,,1.40E-05,-4.15E-18,,6.70E-06,-4.59E-18
1.07E-04,-6.28E-18,,5.95E-05,-1.18E-17,,3.94E-05,-1.16E-17,,1.50E-05,-4.44E-18,,6.84E-06,-4.68E-18
1.09E-04,-6.36E-18,,6.06E-05,-1.20E-17,,4.04E-05,-1.19E-17,,1.60E-05,-4.74E-18,,6.94E-06,-4.75E-18
1.10E-04,-6.44E-18,,6.18E-05,-1.23E-17,,4.14E-05,-1.22E-17,,1.70E-05,-5.03E-18,,7.08E-06,-4.84E-18
1.12E-04,-6.54E-18,,6.35E-05,-1.26E-17,,4.24E-05,-1.25E-17,,1.80E-05,-5.32E-18,,7.30E-06,-4.98E-18
1.14E-04,-6.67E-18,,6.50E-05,-1.29E-17,,4.34E-05,-1.28E-17,,1.85E-05,-5.47E-18,,7.44E-06,-5.08E-18
1.18E-04,-6.88E-18,,6.61E-05,-1.31E-17,,4.44E-05,-1.31E-17,,1.91E-05,-5.64E-18,,7.54E-06,-5.14E-18
1.23E-04,-7.12E-18,,6.73E-05,-1.33E-17,,4.54E-05,-1.34E-17,,1.99E-05,-5.87E-18,,7.68E-06,-5.23E-18
1.26E-04,-7.29E-18,,6.83E-05,-1.35E-17,,4.64E-05,-1.37E-17,,2.08E-05,-6.13E-18,,7.90E-06,-5.37E-18
1.28E-04,-7.44E-18,,6.93E-05,-1.37E-17,,4.74E-05,-1.40E-17,,2.17E-05,-6.42E-18,,8.05E-06,-5.47E-18
1.30E-04,-7.54E-18,,7.11E-05,-1.40E-17,,4.84E-05,-1.43E-17,,2.27E-05,-6.71E-18,,8.15E-06,-5.54E-18
1.33E-04,-7.66E-18,,7.28E-05,-1.43E-17,,4.94E-05,-1.45E-17,,2.37E-05,-7.00E-18,,8.22E-06,-5.58E-18
1.34E-04,-7.74E-18,,7.38E-05,-1.45E-17,,5.04E-05,-1.48E-17,,2.47E-05,-7.29E-18,,8.30E-06,-5.63E-18
1.36E-04,-7.84E-18,,7.48E-05,-1.47E-17,,5.09E-05,-1.50E-17,,2.57E-05,-7.58E-18,,8.41E-06,-5.70E-18
1.39E-04,-7.98E-18,,7.67E-05,-1.50E-17,,5.15E-05,-1.51E-17,,2.67E-05,-7.87E-18,,8.59E-06,-5.81E-18
1.43E-04,-8.20E-18,,7.78E-05,-1.52E-17,,5.23E-05,-1.54E-17,,2.77E-05,-8.16E-18,,8.78E-06,-5.94E-18
1.47E-04,-8.44E-18,,7.88E-05,-1.54E-17,,5.32E-05,-1.56E-17,,2.82E-05,-8.31E-18,,8.92E-06,-6.02E-18
1.50E-04,-8.60E-18,,8.05E-05,-1.57E-17,,5.42E-05,-1.59E-17,,2.88E-05,-8.48E-18,,9.04E-06,-6.10E-18
1.53E-04,-8.74E-18,,8.23E-05,-1.61E-17,,5.52E-05,-1.62E-17,,2.96E-05,-8.70E-18,,9.21E-06,-6.20E-18
1.55E-04,-8.85E-18,,8.35E-05,-1.63E-17,,5.62E-05,-1.65E-17,,3.05E-05,-8.96E-18,,9.40E-06,-6.33E-18
1.56E-04,-8.91E-18,,8.46E-05,-1.65E-17,,5.72E-05,-1.68E-17,,3.15E-05,-9.25E-18,,9.56E-06,-6.43E-18
1.58E-04,-8.98E-18,,8.63E-05,-1.68E-17,,5.82E-05,-1.71E-17,,3.25E-05,-9.54E-18,,9.69E-06,-6.51E-18
1.60E-04,-9.09E-18,,8.77E-05,-1.71E-17,,5.92E-05,-1.74E-17,,3.35E-05,-9.83E-18,,9.84E-06,-6.60E-18
1.63E-04,-9.26E-18,,8.93E-05,-1.74E-17,,6.02E-05,-1.76E-17,,3.45E-05,-1.01E-17,,1.00E-05,-6.70E-18
1.65E-04,-9.39E-18,,9.09E-05,-1.77E-17,,6.12E-05,-1.79E-17,,3.55E-05,-1.04E-17,,1.02E-05,-6.81E-18
1.68E-04,-9.53E-18,,9.24E-05,-1.79E-17,,6.22E-05,-1.82E-17,,3.65E-05,-1.07E-17,,1.05E-05,-7.02E-18
1.71E-04,-9.69E-18,,9.38E-05,-1.82E-17,,6.32E-05,-1.85E-17,,3.75E-05,-1.10E-17,,1.10E-05,-7.33E-18
1.75E-04,-9.85E-18,,9.54E-05,-1.85E-17,,6.42E-05,-1.88E-17,,3.85E-05,-1.13E-17,,1.16E-05,-7.70E-18
1.76E-04,-9.93E-18,,9.70E-05,-1.88E-17,,6.52E-05,-1.91E-17,,3.95E-05,-1.16E-17,,1.20E-05,-7.94E-18
1.78E-04,-1.00E-17,,9.86E-05,-1.90E-17,,6.62E-05,-1.94E-17,,4.00E-05,-1.17E-17,,1.25E-05,-8.24E-18
1.80E-04,-1.01E-17,,1.00E-04,-1.93E-17,,6.72E-05,-1.97E-17,,4.06E-05,-1.19E-17,,1.32E-05,-8.67E-18
1.84E-04,-1.03E-17,,1.02E-04,-1.96E-17,,6.82E-05,-2.00E-17,,4.14E-05,-1.21E-17,,1.41E-05,-9.20E-18
1.86E-04,-1.04E-17,,1.03E-04,-1.99E-17,,6.92E-05,-2.02E-17,,4.23E-05,-1.23E-17,,1.46E-05,-9.49E-18
1.87E-04,-1.05E-17,,1.04E-04,-2.00E-17,,7.02E-05,-2.05E-17,,4.32E-05,-1.26E-17,,1.52E-05,-9.84E-18
1.90E-04,-1.06E-17,,1.05E-04,-2.02E-17,,7.12E-05,-2.08E-17,,4.42E-05,-1.29E-17,,1.55E-05,-1.01E-17
1.93E-04,-1.08E-17,,1.06E-04,-2.04E-17,,7.22E-05,-2.11E-17,,4.52E-05,-1.32E-17,,1.60E-05,-1.03E-17
1.96E-04,-1.09E-17,,1.08E-04,-2.07E-17,,7.32E-05,-2.14E-17,,4.62E-05,-1.35E-17,,1.67E-05,-1.08E-17
2.00E-04,-1.11E-17,,1.09E-04,-2.09E-17,,7.37E-05,-2.15E-17,,4.72E-05,-1.38E-17,,1.76E-05,-1.13E-17
2.03E-04,-1.13E-17,,1.10E-04,-2.11E-17,,7.43E-05,-2.17E-17,,4.82E-05,-1.41E-17,,1.86E-05,-1.18E-17
2.04E-04,-1.13E-17,,1.11E-04,-2.13E-17,,7.50E-05,-2.19E-17,,4.92E-05,-1.43E-17,,1.96E-05,-1.24E-17
2.05E-04,-1.14E-17,,1.13E-04,-2.17E-17,,7.59E-05,-2.22E-17,,5.02E-05,-1.46E-17,,2.06E-05,-1.29E-17
2.07E-04,-1.15E-17,,1.15E-04,-2.20E-17,,7.69E-05,-2.25E-17,,5.12E-05,-1.49E-17,,2.11E-05,-1.32E-17
2.11E-04,-1.17E-17,,1.16E-04,-2.22E-17,,7.79E-05,-2.27E-17,,5.22E-05,-1.52E-17,,2.17E-05,-1.35E-17
2.17E-04,-1.20E-17,,1.18E-04,-2.24E-17,,7.89E-05,-2.30E-17,,5.32E-05,-1.55E-17,,2.25E-05,-1.40E-17
2.19E-04,-1.21E-17,,1.19E-04,-2.26E-17,,7.99E-05,-2.33E-17,,5.42E-05,-1.58E-17,,2.34E-05,-1.44E-17
2.20E-04,-1.21E-17,,1.20E-04,-2.28E-17,,8.09E-05,-2.36E-17,,5.52E-05,-1.61E-17,,2.43E-05,-1.50E-17
2.23E-04,-1.23E-17,,1.21E-04,-2.29E-17,,8.19E-05,-2.39E-17,,5.62E-05,-1.63E-17,,2.53E-05,-1.55E-17
2.27E-04,-1.25E-17,,1.22E-04,-2.31E-17,,8.29E-05,-2.42E-17,,5.72E-05,-1.66E-17,,2.63E-05,-1.60E-17
2.33E-04,-1.27E-17,,1.23E-04,-2.33E-17,,8.34E-05,-2.43E-17,,5.82E-05,-1.69E-17,,2.73E-05,-1.66E-17
2.36E-04,-1.29E-17,,1.25E-04,-2.37E-17,,8.40E-05,-2.45E-17,,5.92E-05,-1.72E-17,,2.83E-05,-1.71E-17
2.38E-04,-1.30E-17,,1.27E-04,-2.40E-17,,8.48E-05,-2.47E-17,,6.02E-05,-1.75E-17,,2.93E-05,-1.76E-17
2.43E-04,-1.32E-17,,1.28E-04,-2.42E-17,,8.57E-05,-2.49E-17,,6.12E-05,-1.78E-17,,3.03E-05,-1.81E-17
2.48E-04,-1.35E-17,,1.29E-04,-2.44E-17,,8.67E-05,-2.52E-17,,6.22E-05,-1.81E-17,,3.13E-05,-1.86E-17
2.51E-04,-1.36E-17,,1.31E-04,-2.47E-17,,8.77E-05,-2.55E-17,,6.32E-05,-1.83E-17,,3.18E-05,-1.88E-17
2.53E-04,-1.37E-17,,1.33E-04,-2.51E-17,,8.87E-05,-2.58E-17,,6.42E-05,-1.86E-17,,3.24E-05,-1.91E-17
2.54E-04,-1.37E-17,,1.35E-04,-2.53E-17,,9.07E-05,-2.64E-17,,6.52E-05,-1.89E-17,,3.32E-05,-1.95E-17
2.56E-04,-1.38E-17,,1.36E-04,-2.55E-17,,9.17E-05,-2.66E-17,,6.62E-05,-1.92E-17,,3.41E-05,-1.99E-17
2.58E-04,-1.39E-17,,1.38E-04,-2.59E-17,,9.27E-05,-2.69E-17,,6.72E-05,-1.95E-17,,3.51E-05,-2.04E-17
2.60E-04,-1.40E-17,,1.40E-04,-2.62E-17,,9.37E-05,-2.72E-17,,6.82E-05,-1.98E-17,,3.61E-05,-2.09E-17
2.63E-04,-1.42E-17,,1.41E-04,-2.65E-17,,9.47E-05,-2.75E-17,,6.92E-05,-2.00E-17,,3.71E-05,-2.14E-17
2.68E-04,-1.44E-17,,1.43E-04,-2.67E-17,,9.57E-05,-2.78E-17,,7.02E-05,-2.03E-17,,3.81E-05,-2.19E-17
2.73E-04,-1.46E-17,,1.45E-04,-2.70E-17,,9.67E-05,-2.81E-17,,7.12E-05,-2.06E-17,,3.91E-05,-2.23E-17
2.75E-04,-1.47E-17,,1.47E-04,-2.74E-17,,9.77E-05,-2.83E-17,,7.22E-05,-2.09E-17,,3.96E-05,-2.26E-17
2.76E-04,-1.48E-17,,1.48E-04,-2.76E-17,,9.87E-05,-2.86E-17,,7.32E-05,-2.12E-17,,4.02E-05,-2.28E-17
2.77E-04,-1.48E-17,,1.49E-04,-2.77E-17,,9.92E-05,-2.88E-17,,7.42E-05,-2.14E-17,,4.09E-05,-2.32E-17
2.79E-04,-1.49E-17,,1.50E-04,-2.79E-17,,9.98E-05,-2.89E-17,,7.52E-05,-2.17E-17,,4.18E-05,-2.36E-17
2.81E-04,-1.50E-17,,1.52E-04,-2.83E-17,,1.01E-04,-2.91E-17,,7.62E-05,-2.20E-17,,4.28E-05,-2.40E-17
2.84E-04,-1.51E-17,,1.54E-04,-2.86E-17,,1.01E-04,-2.94E-17,,7.72E-05,-2.23E-17,,4.38E-05,-2.45E-17
2.87E-04,-1.53E-17,,1.56E-04,-2.89E-17,,1.02E-04,-2.97E-17,,7.82E-05,-2.26E-17,,4.48E-05,-2.49E-17
